Romania,63.8,70.6,73.2,78.8,83.9,85.1,86.1,86.6,86.1,86.1
RussianFederation,74.2,80.3,91.5,93.6,89.6,90.8,92.1,93.4,94.6,94.6
Rwanda,2.8,3.6,5,6.3,8,8.7,9.2,9.8,10.5,10.5
SaintLucia,,,,,48.2,48.2,48.2,48.2,48.2,48.2
Samoa,,,63.3,68.4,73.6,74.6,75.7,76.7,77.8,77.8
SaoTomeandPrincipe,,,,,30.8,30.8,30.8,30.8,30.8,30.8
SaudiArabia,21.8,27,31.8,44.9,54.6,56.6,58.5,60.5,63.3,63.3
Senegal,4.1,4.3,4.3,4.1,6.7,7.2,8.4,9.6,10.2,10.2
Serbia,32.5,40.7,44.7,62.7,80.7,79.5,80.5,81.6,82.3,82.3
SierraLeone,4,5.2,6.3,7.3,9.9,11.7,13.4,15.1,16.8,16.8
Singapore,28.9,46.3,61.2,66.6,72.7,73.2,74.1,74.8,75.5,75.5
Slovakia,71.8,90.5,92.1,97.9,97.4,97.3,99.1,99.1,99.2,99.2
Slovenia,78,84.7,93.2,93.1,94,94.8,95.8,96.1,96.5,96.5
SouthAfrica,37.7,51.3,53.6,62.6,69.7,71.1,72.7,73.2,73.7,73.7
Spain,30.1,42.9,54.9,58.4,64.2,65.6,66.8,68.8,70.9,70.9
SriLanka,49,59.9,71,72.2,72.8,74.7,76.5,78.3,80.2,80.2
Sudan,3.9,6.4,9.1,11,12.1,12.5,12.9,13.3,13.7,13.7
Suriname,,,39.8,45.9,52.4,53.7,55,56.4,57.7,57.7
Swaziland,29.8,28.4,24,16.4,21.9,23.2,24.6,26,27.3,27.3
Sweden,67.2,73.2,79.9,88.7,85.1,85.9,86.5,87.2,87.8,87.8
Switzerland,57.4,57.5,64.5,81.5,94.6,94.7,95,95.5,96.1,96.1
SyrianArabRepublic,18.8,22.1,25.6,27.1,29.5,30.8,32.1,33.5,34.8,34.8
Tajikistan,71.2,82.3,89.9,92.7,95,95.8,96.5,97.3,98,98
Tanzania(UnitedRepublicof),2.5,3.2,4,5.5,7.7,8.1,8.6,9.3,10.1,10.1
Thailand,11.6,13.6,18.7,29.4,35.7,36.7,37.7,38.7,40.9,40.9
TheformerYugoslavRepublicofMacedonia,,,,,,,,,,40.2
Togo,9.5,11,12.6,13.7,16.1,17.9,19.6,21.4,23.1,23.1
Tonga,59.9,71.6,70.7,68.6,83.6,87.5,88.7,90,91.2,91.2
TrinidadandTobago,37,44,50.7,56.6,59.7,62.4,65.1,67.9,70.6,70.6
Tunisia,12,15.9,20.7,26.1,32.8,34,33.3,35.4,37.5,37.5
Turkey,12.3,14,18.1,20.9,34.1,37.5,39,40.5,43.5,43.5
Turkmenistan,,88.1,,,,,,,,
Uganda,6.2,7.2,7.1,15.1,22.9,23.7,24.4,25.2,25.9,25.9
Ukraine,72.6,79.7,84,89.4,91.7,92.4,93,93.7,94.3,94.3
UnitedArabEmirates,43.9,55.8,64.4,70.9,73.1,74.2,75.3,76.3,77.4,77.4
UnitedKingdom,67,72.7,79.5,88.8,99.7,99.8,81.6,81.4,81.3,81.3
UnitedStates,92.8,93.4,93.8,93.9,94.9,95,95.1,95.4,95.4,95.4
Uruguay,39.8,42.6,52.9,52.4,50.6,53.1,54.4,53.8,55,55
Uzbekistan,,,,,,,,99.9,99.9,99.9
Venezuela(BolivarianRepublicof),23.4,30,35.3,44.3,61.2,65.8,68.1,70.3,72.6,72.6
VietNam,10.3,18.4,30.2,44.6,59.9,60.3,61.5,62.7,64,64
Yemen,0.4,0.9,2.6,5,8.6,10.3,12.1,13.9,15.6,15.6
Zambia,20.7,40.9,30.4,37.5,42.6,45,47.5,49.9,52.3,52.3
Zimbabwe,16.6,28.5,37.1,40.5,46.3,47.5,48.7,50.3,51.9,51.9
